Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,August,08/08/2024,fee,cash,-8.00,Debit,BofA,Savings
2024,August,08/12/2024,zelle,cash,200.00,Debit,BofA,Savings
2024,August,08/15/2024,deposit,cash,50.00,Debit,BofA,Savings
2024,August,08/16/2024,transfer,transfer,1.00,Debit,BofA,Savings
2024,August,08/19/2024,transfer,transfer,-393.56,Debit,BofA,Savings
2024,August,08/22/2024,deposit,cash,"1,497.32",Debit,BofA,Savings
2024,August,08/26/2024,zelle,cash,"3,000.00",Debit,BofA,Savings
2024,August,08/26/2024,zelle,cash,200.00,Debit,BofA,Savings
2024,August,08/29/2024,transfer,transfer,"-4,298.32",Debit,BofA,Savings
2024,September,09/03/2024,deposit,cash,666.00,Debit,BofA,Savings
2024,September,09/03/2024,zelle,cash,-100.00,Debit,BofA,Savings
2024,September,09/05/2024,interest,cash,0.01,Debit,BofA,Savings
